,CIC0,SM1_Dz(Z),GATS1i,NdsCH,NdssC,MLOGP,response
601,2.636,0.8270000000000001,0.999,0.0,0.0,,4.393
602,,0.93,0.924,,,,4.856
603,2.781,0.711,1.147,0.0,0.0,1.515,3.846
604,4.137,0.223,1.5419999999999998,0.0,,4.234,5.194
605,,1.077,0.81,0.0,0.0,3.11,4.63
606,2.377,0.8270000000000001,,0.0,0.0,2.239,3.91
607,2.215,0.887,0.888,0.0,0.0,1.395,3.932
608,2.377,0.8270000000000001,0.938,0.0,0.0,2.239,5.146
609,2.11,0.58,0.805,,0.0,1.61,3.391
610,2.583,0.762,,,1.0,1.968,3.882
611,2.11,0.58,0.805,0.0,0.0,1.61,3.787
612,2.329,0.711,0.868,0.0,1.0,1.229,3.097
613,2.512,0.134,0.862,0.0,,1.506,3.0780000000000003
614,,,,,1.0,-0.317,2.445
615,2.092,1.359,2.273,1.0,1.0,1.246,4.796
616,1.774,0.429,2.299,,0.0,-0.41,1.897
617,3.052,0.638,0.903,0.0,0.0,3.237,4.9060000000000015
618,,0.331,1.3969999999999998,3.0,0.0,2.048,4.473
619,3.554,0.629,0.945,0.0,0.0,3.315,3.459
620,2.7260000000000004,0.496,1.179,0.0,1.0,1.06,2.126
621,2.983,0.496,,,0.0,-0.521,1.68
622,2.778,0.83,1.046,0.0,0.0,3.562,6.652
623,2.634,,1.298,0.0,0.0,0.943,3.131
624,2.08,,0.816,0.0,0.0,2.729,4.62
625,,,1.482,,1.0,0.204,3.03
626,,0.64,1.727,0.0,0.0,0.8,2.072
627,2.755,0.83,1.656,0.0,0.0,,3.746
628,1.892,1.4409999999999998,0.7759999999999999,0.0,,3.426,6.0870000000000015
629,3.402,0.604,1.517,,0.0,3.451,
630,3.219,0.8109999999999999,1.127,0.0,,2.604,4.759
631,3.137,0.251,1.335,,0.0,1.141,2.412
632,3.195,0.496,1.133,0.0,1.0,2.222,
633,1.0,1.15,0.968,0.0,1.0,0.996,
634,3.343,,0.923,0.0,0.0,2.5380000000000003,3.327
635,2.126,1.278,0.8959999999999999,,0.0,4.634,5.3610000000000015
636,2.019,,,0.0,0.0,3.314,4.737
637,2.217,0.764,0.8590000000000001,1.0,0.0,2.269,5.308
638,2.019,1.126,0.7929999999999999,,0.0,,5.001
639,2.025,0.932,,1.0,0.0,2.212,4.672
640,2.479,0.887,0.954,0.0,0.0,1.7480000000000002,4.181
641,1.946,0.223,1.929,0.0,0.0,,
642,,1.151,0.911,0.0,2.0,,
643,3.252,0.223,1.077,0.0,,2.51,4.093
644,2.987,1.0759999999999998,0.921,0.0,1.0,3.318,6.077000000000001
645,3.405,0.251,1.56,0.0,0.0,,4.132
646,2.43,0.496,0.8490000000000001,0.0,1.0,1.237,3.133
647,,,0.841,1.0,0.0,,
648,2.065,1.062,0.852,0.0,0.0,2.463,4.399
649,2.469,0.5820000000000001,0.913,0.0,0.0,,
650,3.08,,1.5830000000000002,,0.0,1.442,3.757
651,1.634,0.7979999999999999,1.093,,0.0,0.68,2.569
652,3.596,0.972,0.941,0.0,1.0,4.1789999999999985,4.828
653,1.634,,1.19,0.0,0.0,0.501,2.319
654,3.675,1.112,1.314,0.0,1.0,,4.706
655,3.333,0.405,,,0.0,2.974,4.632
656,2.396,0.223,1.778,0.0,0.0,0.34700000000000003,0.778
657,2.026,0.223,1.6669999999999998,0.0,1.0,,0.855
658,1.751,0.629,1.483,0.0,0.0,-0.317,0.361
659,2.189,,2.0,0.0,0.0,3.2910000000000004,5.242000000000001
660,1.3330000000000002,0.754,,0.0,1.0,-0.386,3.487
661,2.0340000000000003,0.331,2.672,1.0,0.0,-0.273,0.841
662,,0.988,1.489,0.0,1.0,0.18,2.725
663,3.828,1.259,0.966,,,,
664,3.029,0.331,2.13,0.0,1.0,0.967,1.885
665,3.003,0.134,1.413,0.0,0.0,2.242,2.647
666,,0.134,1.581,0.0,0.0,2.274,4.396
667,2.555,1.11,,0.0,,0.289,
668,3.86,0.223,,0.0,1.0,3.661,4.51
669,3.98,0.223,1.723,0.0,,2.894,4.703
670,1.783,,1.6669999999999998,,0.0,,1.777
671,2.126,0.251,1.719,0.0,0.0,0.087,2.458
672,4.191,0.762,,0.0,0.0,1.239,2.6180000000000003
673,3.065,0.923,1.317,0.0,,,2.015
674,3.961,0.405,1.083,1.0,0.0,3.987,5.8420000000000005
675,3.005,1.683,0.774,0.0,,4.8039999999999985,7.287000000000001
676,4.36,,,1.0,2.0,4.235,
677,3.027,,1.011,0.0,1.0,1.807,3.009
678,2.448,0.638,0.921,0.0,,1.7009999999999998,3.513
679,3.4610000000000003,0.223,1.111,0.0,,2.357,3.393
680,4.2189999999999985,1.033,,0.0,1.0,,
681,,0.887,0.954,0.0,0.0,1.7480000000000002,4.208
682,3.676,0.405,,0.0,1.0,2.289,3.976
683,3.033,,1.3119999999999998,1.0,0.0,1.21,4.832
684,2.684,0.988,1.226,,1.0,3.076,4.404
685,2.396,,1.778,0.0,0.0,0.34700000000000003,1.121
686,2.748,,1.705,0.0,0.0,0.8,1.589
687,3.035,0.223,1.662,0.0,0.0,1.209,
688,2.585,0.0,,0.0,0.0,2.255,3.502
689,1.439,,1.867,0.0,0.0,2.226,3.402
690,3.444,0.88,1.466,0.0,3.0,1.95,4.004
691,5.158,0.134,1.791,,0.0,3.1180000000000003,
692,2.526,0.713,1.2009999999999998,1.0,,2.213,3.5610000000000004
693,3.593,1.236,1.166,0.0,0.0,4.268,7.607
694,3.3760000000000003,1.278,0.915,0.0,0.0,5.934,4.862
695,3.98,0.452,2.013,0.0,0.0,-0.022,1.81
696,4.305,0.223,1.348,3.0,2.0,,5.192
697,2.926,0.5820000000000001,,0.0,0.0,1.548,3.0460000000000003
698,4.166,0.134,1.556,0.0,,,5.912000000000001
699,2.938,1.385,1.225,0.0,,1.02,
700,4.5360000000000005,,1.29,,0.0,4.907,6.634
701,3.134,0.223,1.319,0.0,0.0,1.795,4.8039999999999985
702,,0.134,1.912,0.0,0.0,-0.172,2.3
703,1.126,0.134,1.431,0.0,0.0,-0.317,1.399
704,1.429,,1.75,,0.0,-0.317,
705,1.429,0.223,1.804,,,-0.564,2.72
706,1.0,0.83,1.432,,1.0,1.672,2.8560000000000003
707,0.965,0.64,1.695,0.0,1.0,0.202,3.272
708,3.0010000000000003,0.134,2.92,0.0,,,2.375
709,2.748,,1.705,0.0,0.0,0.8,1.063
710,1.279,,,0.0,0.0,0.58,2.925
711,,0.223,1.5830000000000002,0.0,1.0,1.442,3.0610000000000004
712,,1.028,1.5119999999999998,0.0,,,2.693
713,1.832,1.209,1.364,0.0,,-0.792,3.828
714,1.7009999999999998,1.443,1.905,0.0,0.0,2.957,4.44
715,1.094,1.236,1.461,0.0,1.0,0.996,
716,2.931,1.71,0.935,,,5.124,7.017
717,2.126,,1.455,,0.0,2.459,4.184
718,3.641,0.331,1.933,1.0,0.0,,3.2460000000000004
719,2.137,0.223,1.179,0.0,0.0,,3.841
720,3.514,0.0,1.375,,2.0,,4.465
721,3.668,0.134,1.132,0.0,0.0,2.502,
722,2.632,0.429,,0.0,0.0,1.074,2.975
723,2.465,1.586,,,4.0,3.5580000000000003,7.591
724,2.33,0.58,1.776,0.0,2.0,-0.741,0.89
725,3.465,0.0,0.963,4.0,0.0,3.267,3.407
726,3.277,,1.633,0.0,0.0,1.587,2.182
727,2.866,0.223,1.288,0.0,0.0,1.442,1.906
728,3.738,1.131,1.584,1.0,2.0,,4.422
729,2.08,,0.902,0.0,0.0,3.157,3.693
730,3.739,,1.204,1.0,1.0,3.374,5.689
731,3.1910000000000003,0.223,1.154,0.0,0.0,,
732,,1.825,1.351,0.0,,-0.45,4.691
733,4.628,1.209,,0.0,0.0,,4.551
734,3.41,0.223,1.278,1.0,2.0,1.947,2.737
735,,0.0,1.3,1.0,1.0,1.974,2.9530000000000003
736,2.748,,1.705,0.0,0.0,0.8,1.6909999999999998
737,2.024,0.83,1.761,0.0,0.0,2.226,
738,2.665,,1.7619999999999998,0.0,0.0,-0.534,1.817
739,2.748,0.223,1.705,0.0,0.0,,1.305
740,2.462,,1.625,0.0,1.0,0.655,1.352
741,2.377,0.331,1.734,0.0,0.0,-0.534,1.474
742,,1.531,1.0590000000000002,0.0,,,6.16
743,,1.079,1.867,,,2.226,
744,1.126,1.079,1.44,1.0,1.0,2.081,
745,1.636,0.331,1.265,1.0,1.0,,2.766
746,2.024,0.405,2.065,,1.0,0.133,2.269
747,,1.278,1.868,,,2.604,3.916
748,3.957,,1.269,2.0,,,4.577
749,3.383,1.408,,0.0,,,5.44
750,3.819,0.615,0.8640000000000001,0.0,0.0,4.878,3.715
751,3.044,1.028,0.959,1.0,0.0,3.762,5.95
752,3.776,0.405,0.92,0.0,,3.306,4.691
753,3.39,0.934,0.889,0.0,0.0,,5.2639999999999985
754,,0.223,,0.0,0.0,,4.81
755,3.921,0.251,1.398,0.0,,1.622,3.4160000000000004
756,3.993,0.223,1.214,1.0,,3.563,
757,2.507,0.405,1.652,0.0,,0.888,2.495
758,,0.35700000000000004,1.394,,1.0,3.903,6.922999999999999
759,2.377,1.278,0.974,0.0,0.0,4.658,5.372000000000001
760,2.1180000000000003,0.956,2.539,0.0,,-0.406,3.845
761,2.523,,1.602,1.0,1.0,0.052000000000000005,4.384
762,3.361,0.223,,0.0,0.0,2.129,5.485
763,3.7,0.223,1.556,0.0,1.0,3.358,
764,2.818,0.83,1.386,0.0,0.0,2.899,3.92
765,3.465,0.0,0.802,0.0,0.0,,4.984
766,3.003,0.134,1.032,,0.0,2.152,
767,4.268,0.916,,0.0,2.0,1.936,7.849
768,3.26,0.405,0.921,0.0,0.0,2.782,
769,,,,0.0,0.0,2.59,4.377
770,3.888,0.693,0.978,0.0,,4.633,6.6
771,3.477,0.693,1.344,0.0,,2.577,4.1160000000000005
772,4.05,0.693,,0.0,2.0,,5.49
773,4.05,0.693,1.381,0.0,2.0,3.618,5.367000000000001
774,,0.331,1.301,2.0,1.0,2.209,4.711
775,4.073,0.693,1.171,0.0,,4.091,5.224
776,2.744,,0.753,0.0,0.0,3.018,
777,3.252,0.134,0.875,0.0,0.0,2.859,5.292000000000002
778,2.815,0.56,1.585,,2.0,,2.758
779,2.031,,2.591,0.0,0.0,-0.816,2.689
780,3.265,0.496,0.962,0.0,1.0,3.055,4.732
781,2.085,1.079,0.895,0.0,0.0,4.063,4.89
782,,1.586,1.25,0.0,4.0,,6.416
783,2.822,0.8109999999999999,1.524,0.0,0.0,-2.089,0.6
784,3.315,0.916,1.753,0.0,2.0,-0.439,
785,1.4169999999999998,0.898,0.648,0.0,0.0,2.042,4.421
786,2.1180000000000003,0.934,0.913,1.0,,2.9560000000000004,4.988
787,,1.16,0.8009999999999999,0.0,0.0,,4.499
788,2.536,0.429,0.871,0.0,1.0,1.237,2.537
789,2.43,0.496,0.946,0.0,,,3.568
790,1.822,0.8290000000000001,0.8340000000000001,0.0,0.0,,3.731
791,2.125,0.638,0.831,0.0,,1.348,2.939
792,3.0980000000000003,0.93,1.075,0.0,0.0,2.702,
793,3.26,,0.7020000000000001,0.0,0.0,4.412,6.297999999999999
794,2.982,0.496,1.151,0.0,,1.783,3.522
795,,1.126,0.7929999999999999,0.0,0.0,,4.73
796,2.508,0.58,,,,1.7009999999999998,3.789
797,3.4610000000000003,0.223,1.12,0.0,0.0,,4.672
798,2.233,0.64,0.92,1.0,0.0,2.37,
799,2.477,0.405,0.8759999999999999,1.0,0.0,1.6669999999999998,
800,3.394,,0.868,0.0,0.0,3.677,4.199
801,2.937,0.499,0.8,0.0,0.0,3.945,4.849
802,3.012,0.223,0.76,0.0,0.0,2.637,4.538
803,3.315,0.223,0.799,0.0,0.0,3.127,4.507
804,2.11,1.15,0.72,1.0,,3.157,5.518
805,4.2780000000000005,0.405,1.345,0.0,0.0,3.5460000000000003,
806,3.179,0.0,0.805,0.0,0.0,3.386,4.322
807,,0.134,1.009,0.0,0.0,2.066,
808,2.448,0.638,1.121,,0.0,1.7009999999999998,2.904
809,3.921,0.134,1.789,0.0,0.0,2.502,3.861
810,3.532,0.134,1.518,0.0,0.0,2.813,3.959
811,3.585,0.331,1.491,0.0,0.0,,3.53
812,3.0860000000000003,0.948,0.7509999999999999,0.0,0.0,3.5860000000000003,5.107
813,3.465,0.0,0.8370000000000001,0.0,0.0,3.876,4.809
814,3.315,,0.799,0.0,0.0,3.127,
815,1.855,1.179,1.44,,,1.587,2.838
816,2.866,,1.288,2.0,0.0,1.335,3.411
817,2.137,0.223,,0.0,,0.655,3.2880000000000003
818,3.036,0.405,1.205,0.0,1.0,,4.247
819,3.111,0.405,1.05,0.0,2.0,1.756,5.169
820,2.677,0.331,1.582,0.0,1.0,0.586,2.895
821,1.962,,0.7829999999999999,0.0,0.0,3.617,5.348
822,2.442,0.934,0.984,0.0,1.0,2.991,4.208
823,3.1710000000000003,0.134,1.011,0.0,,2.186,3.984
824,2.982,0.496,,0.0,,1.783,3.665
825,3.874,0.638,1.352,,1.0,2.575,4.561
826,2.43,0.496,0.83,1.0,0.0,1.132,4.628
827,2.435,1.113,1.109,,1.0,2.354,2.839
828,3.247,0.8740000000000001,1.221,0.0,1.0,2.659,4.262
829,2.928,1.113,,0.0,1.0,2.927,
830,,1.131,0.996,0.0,0.0,2.7230000000000003,5.354
831,3.177,0.629,,0.0,0.0,,3.365
832,2.495,0.56,0.835,1.0,0.0,1.099,4.023
833,2.233,0.57,0.883,,0.0,1.501,3.325
834,3.179,0.0,1.063,0.0,0.0,2.942,3.811
835,,,0.953,0.0,0.0,1.859,3.897
836,2.62,,0.99,0.0,0.0,3.21,4.23
837,2.126,0.83,,0.0,0.0,3.478,4.194
838,2.216,0.5820000000000001,0.8390000000000001,0.0,0.0,2.127,
839,2.62,0.28800000000000003,0.8390000000000001,0.0,0.0,3.045,3.753
840,2.834,0.134,0.95,0.0,0.0,1.859,3.12
841,2.086,0.64,0.838,0.0,0.0,2.127,3.995
842,,0.0,1.111,0.0,0.0,3.259,4.192
843,3.012,0.223,1.023,0.0,0.0,2.193,3.92
844,2.477,0.83,0.983,0.0,0.0,3.795,4.54
845,2.477,,0.983,0.0,,3.795,4.743
846,2.08,0.8909999999999999,0.816,,0.0,2.729,4.332
847,2.888,0.251,0.944,0.0,0.0,1.246,1.935
848,2.08,0.8909999999999999,0.816,0.0,0.0,2.729,4.989
849,,1.278,0.8959999999999999,0.0,0.0,4.634,5.815
850,1.925,1.16,0.8009999999999999,0.0,0.0,3.314,5.192
851,3.69,0.223,0.883,0.0,0.0,3.887,
852,3.814,0.331,1.225,0.0,1.0,3.345,3.698
853,2.888,0.405,1.472,1.0,2.0,,
854,,,1.051,0.0,0.0,,4.05
855,1.855,1.067,1.244,0.0,0.0,1.587,3.487
856,,0.223,1.6,,,1.064,3.937
857,1.92,1.079,1.7380000000000002,0.0,0.0,2.604,3.408
858,2.802,,1.6,0.0,1.0,1.064,
859,2.435,0.331,1.5319999999999998,0.0,1.0,0.586,
860,3.611,0.331,,0.0,0.0,1.393,2.859
861,2.215,0.887,0.888,0.0,0.0,1.395,4.084
862,3.16,1.028,0.809,0.0,0.0,3.842,5.939
863,,0.405,1.151,1.0,0.0,,
864,1.965,0.405,1.169,1.0,0.0,-0.145,3.66
865,1.783,0.629,0.75,1.0,0.0,0.736,
866,2.3480000000000003,0.762,,0.0,0.0,2.6210000000000004,3.769
867,3.4610000000000003,,1.12,0.0,0.0,2.813,
868,,0.0,1.111,0.0,0.0,3.259,4.279
869,2.824,0.223,,0.0,,2.102,2.87
870,2.233,0.64,0.92,0.0,,2.102,
871,,0.496,0.858,0.0,0.0,,3.022
872,2.434,1.17,0.996,1.0,0.0,1.391,
873,2.765,0.331,0.951,0.0,1.0,1.49,
874,2.43,0.496,0.946,0.0,0.0,2.241,3.66
875,2.252,1.075,0.885,,0.0,,5.303
876,2.508,0.58,0.941,0.0,0.0,1.7009999999999998,3.242
877,2.508,0.58,0.941,,0.0,1.7009999999999998,3.345
878,2.251,0.638,0.871,1.0,0.0,1.61,4.416
879,,0.8270000000000001,,0.0,0.0,,4.239
880,3.739,0.0,1.25,2.0,2.0,3.267,4.638
881,3.332,0.134,1.519,0.0,,2.51,3.415
882,2.43,0.496,,0.0,0.0,2.241,3.4410000000000003
883,2.815,0.56,1.585,1.0,1.0,0.43,4.59
884,,0.405,,0.0,,-0.386,2.661
885,3.1260000000000003,0.693,1.69,2.0,2.0,1.024,4.282
886,3.86,0.223,1.429,0.0,0.0,2.502,3.919
887,,1.3159999999999998,1.074,0.0,1.0,1.119,
888,3.69,1.159,1.295,0.0,2.0,4.449,5.749
889,4.211,,1.045,0.0,,4.832,8.916
890,2.16,1.16,1.607,,0.0,1.94,3.13
891,4.327,0.56,1.254,2.0,5.0,3.399,
892,3.057,1.636,0.995,0.0,2.0,4.452,8.433
893,3.401,,1.185,0.0,1.0,2.7910000000000004,3.529
894,2.086,1.501,0.7659999999999999,0.0,0.0,3.909,6.093
895,3.08,0.223,,2.0,,1.442,2.494
896,3.41,0.134,1.722,0.0,0.0,-1.1740000000000002,3.017
897,3.1010000000000004,,,0.0,1.0,,
898,3.599,0.7020000000000001,1.514,2.0,1.0,3.247,6.183
899,2.986,0.961,1.669,,4.0,1.798,3.152
900,2.804,1.11,0.618,0.0,,1.317,6.254
901,3.67,0.728,2.11,0.0,3.0,2.2880000000000003,2.964
902,,0.405,0.875,1.0,2.0,3.148,4.803
903,2.801,0.728,2.226,,2.0,0.736,3.109
904,3.652,0.872,0.867,2.0,,3.983,4.04
905,,0.916,,0.0,6.0,2.918,4.8180000000000005
906,2.8310000000000004,1.393,1.077,0.0,1.0,0.906,5.317
907,4.057,1.032,1.183,1.0,3.0,4.754,8.201
